,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,loss
0,"tensor(0.5732, device='cuda:0')","tensor(0.3783, device='cuda:0')","tensor(0.5216, device='cuda:0')","tensor(0.5917, device='cuda:0')","tensor(0.1853, device='cuda:0')","tensor(2.2501, device='cuda:0')"
0,"tensor(0.4855, device='cuda:0')","tensor(0.4131, device='cuda:0')","tensor(0.4502, device='cuda:0')","tensor(0.1202, device='cuda:0')","tensor(0.0411, device='cuda:0')","tensor(1.5101, device='cuda:0')"
0,"tensor(0.3286, device='cuda:0')","tensor(0.2910, device='cuda:0')","tensor(0.3489, device='cuda:0')","tensor(0.0827, device='cuda:0')","tensor(0.0773, device='cuda:0')","tensor(1.1286, device='cuda:0')"
0,"tensor(0.3900, device='cuda:0')","tensor(0.3878, device='cuda:0')","tensor(0.3816, device='cuda:0')","tensor(0.0738, device='cuda:0')","tensor(0.1189, device='cuda:0')","tensor(1.3522, device='cuda:0')"
0,"tensor(0.5348, device='cuda:0')","tensor(0.5141, device='cuda:0')","tensor(0.3968, device='cuda:0')","tensor(0.1497, device='cuda:0')","tensor(0.1114, device='cuda:0')","tensor(1.7069, device='cuda:0')"
0,"tensor(0.4250, device='cuda:0')","tensor(0.4650, device='cuda:0')","tensor(0.3550, device='cuda:0')","tensor(0.0754, device='cuda:0')","tensor(0.0751, device='cuda:0')","tensor(1.3955, device='cuda:0')"
0,"tensor(0.3395, device='cuda:0')","tensor(0.2582, device='cuda:0')","tensor(0.3966, device='cuda:0')","tensor(0.1114, device='cuda:0')","tensor(0.0428, device='cuda:0')","tensor(1.1485, device='cuda:0')"
0,"tensor(0.3567, device='cuda:0')","tensor(0.2799, device='cuda:0')","tensor(0.4390, device='cuda:0')","tensor(0.0730, device='cuda:0')","tensor(0.0991, device='cuda:0')","tensor(1.2477, device='cuda:0')"
0,"tensor(0.4763, device='cuda:0')","tensor(0.4422, device='cuda:0')","tensor(0.4063, device='cuda:0')","tensor(0.1413, device='cuda:0')","tensor(0.0864, device='cuda:0')","tensor(1.5525, device='cuda:0')"
0,"tensor(0.4182, device='cuda:0')","tensor(0.4310, device='cuda:0')","tensor(0.3621, device='cuda:0')","tensor(0.0491, device='cuda:0')","tensor(0.1199, device='cuda:0')","tensor(1.3802, device='cuda:0')"
0,"tensor(0.3601, device='cuda:0')","tensor(0.2955, device='cuda:0')","tensor(0.4374, device='cuda:0')","tensor(0.1092, device='cuda:0')","tensor(0.0562, device='cuda:0')","tensor(1.2583, device='cuda:0')"
0,"tensor(0.5023, device='cuda:0')","tensor(0.3340, device='cuda:0')","tensor(0.3570, device='cuda:0')","tensor(1.8400, device='cuda:0')","tensor(0.2017, device='cuda:0')","tensor(3.2351, device='cuda:0')"
0,"tensor(0.3848, device='cuda:0')","tensor(0.4407, device='cuda:0')","tensor(0.4028, device='cuda:0')","tensor(0.0697, device='cuda:0')","tensor(0.1009, device='cuda:0')","tensor(1.3989, device='cuda:0')"
0,"tensor(0.2387, device='cuda:0')","tensor(0.2292, device='cuda:0')","tensor(0.3434, device='cuda:0')","tensor(0.0165, device='cuda:0')","tensor(0.0196, device='cuda:0')","tensor(0.8475, device='cuda:0')"
0,"tensor(0.2553, device='cuda:0')","tensor(0.1659, device='cuda:0')","tensor(0.3189, device='cuda:0')","tensor(0.2569, device='cuda:0')","tensor(0.0409, device='cuda:0')","tensor(1.0380, device='cuda:0')"
0,"tensor(0.4441, device='cuda:0')","tensor(0.3712, device='cuda:0')","tensor(0.4037, device='cuda:0')","tensor(0.1961, device='cuda:0')","tensor(0.0811, device='cuda:0')","tensor(1.4962, device='cuda:0')"
0,"tensor(0.4774, device='cuda:0')","tensor(0.4110, device='cuda:0')","tensor(0.3780, device='cuda:0')","tensor(0.0926, device='cuda:0')","tensor(0.0703, device='cuda:0')","tensor(1.4293, device='cuda:0')"
0,"tensor(0.3631, device='cuda:0')","tensor(0.2503, device='cuda:0')","tensor(0.3845, device='cuda:0')","tensor(0.2944, device='cuda:0')","tensor(0.0969, device='cuda:0')","tensor(1.3893, device='cuda:0')"
